,Respondent_Serial,language,country,D1,D2,D3,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q2_12,Q2_13,Q2_14,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,yyyymmdd,AgeGender,regionAustralia,regionUS,regionUK,regionIndia,regionNigeria,regionPhilippines,regionFinland,regionPortugal,regionBrazil,regionFrance,weight
2202,2965.0,English,Australia,19.0,man,Australia: Victoria,very,no,yes,yes,yes,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,a little,no,no,no,no,no,no,no,yes,no,moderately,moderately,moderately,moderately,moderately,moderately,very,moderately,moderately,20210520.0,Men 16-20,Victoria,,,,,,,,,,1.1371012797535018
2203,2966.0,French,France,22.0,woman,France: North East,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,,yes,,,yes,yes,,a little,no,no,yes,no,no,no,yes,yes,yes,very,very,very,not at all,extremely,not at all,moderately,very,not at all,20210520.0,Women 21-25,,,,,,,,,,North East,0.8525325875889187
2204,2967.0,English,Australia,21.0,man,Australia: Victoria,moderately,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no,yes,yes,no,not at all,no,no,no,no,yes,no,yes,yes,no,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all,20210520.0,Men 21-25,Victoria,,,,,,,,,,1.1290983147958158
2205,2968.0,English,Philippines,23.0,man,Philippines: Central Philippines Region,moderately,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,yes,yes,a little,no,no,yes,yes,no,no,yes,yes,yes,very,moderately,very,a little,very,a little,very,very,not at all,20210520.0,Men 21-25,,,,,,Central Philippines Region,,,,,0.7209880946930312
2206,2969.0,English,India,24.0,man,India: East India,moderately,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,moderately,moderately,very,very,a little,extremely,very,very,moderately,20210520.0,Men 21-25,,,,East India,,,,,,,0.9816111889294205
2207,2970.0,English,India,22.0,man,India: East India,extremely,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,completely reassured,yes,yes,yes,yes,yes,yes,yes,yes,yes,very,very,extremely,very,extremely,very,very,very,very,20210520.0,Men 21-25,,,,East India,,,,,,,0.9816111889294205
2208,2971.0,French,France,18.0,woman,France: Ile de France,very,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,no,yes,no,yes,no,moderately,no,no,yes,no,no,no,yes,no,yes,a little,a little,not at all,not at all,a little,a little,not at all,not at all,a little,20210520.0,Women 16-20,,,,,,,,,,Ile de France,1.1207629528006064
2209,2972.0,French,France,19.0,woman,France: North East,very,yes,,yes,yes,no,yes,yes,no,,no,,no,yes,no,no,no,,yes,yes,yes,,yes,no,not at all,no,no,yes,,no,no,yes,yes,,very,very,very,a little,moderately,not at all,a little,,not at all,20210520.0,Women 16-20,,,,,,,,,,North East,1.110046629295464
2210,2973.0,French,France,25.0,woman,France: Ile de France,not worried,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,yes,,not at all,no,no,no,no,no,no,yes,no,no,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all,20210520.0,Women 21-25,,,,,,,,,,Ile de France,0.8607628859981643
2211,2974.0,English,India,18.0,man,India: North India,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,very,very,very,not at all,very,not at all,moderately,very,not at all,20210520.0,Men 16-20,,,,North India,,,,,,,1.4754948727237758
2212,2975.0,English,India,25.0,woman,India: South India,extremely,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,no,yes,yes,no,completely reassured,no,no,yes,no,yes,yes,yes,yes,yes,moderately,very,very,extremely,a little,a little,moderately,very,extremely,20210520.0,Women 21-25,,,,South India,,,,,,,0.6922652213963221
2213,2976.0,English,India,18.0,man,India: North India,a little,no,,no,yes,,no,,no,no,,no,no,no,yes,yes,,,yes,no,yes,yes,yes,,a little,no,yes,yes,yes,yes,,yes,no,yes,a little,,moderately,,a little,a little,,a little,moderately,20210520.0,Men 16-20,,,,North India,,,,,,,1.4754948727237758
2214,2977.0,English,United Kingdom,24.0,woman,United Kingdom: North,moderately,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,,a little,no,no,no,no,no,,,yes,yes,,a little,a little,a little,a little,a little,a little,,moderately,20210520.0,Women 21-25,,,North,,,,,,,,0.9578710094154348
2215,2978.0,English,United Kingdom,18.0,man,United Kingdom: South,moderately,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,a little,no,no,yes,no,no,no,yes,yes,yes,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately,a little,20210520.0,Men 16-20,,,South,,,,,,,,1.0350056653631439
2216,2980.0,French,France,25.0,man,France: South,very,yes,no,no,no,no,yes,no,no,yes,no,yes,yes,yes,no,no,,yes,yes,no,no,no,yes,no,moderately,yes,no,no,,,,,,no,,,a little,,,,,,,20210520.0,Men 21-25,,,,,,,,,,South,0.9551268394081684
2217,2981.0,English,India,22.0,man,India: North India,moderately,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,moderately,no,yes,no,yes,yes,yes,no,yes,no,not at all,not at all,not at all,very,not at all,moderately,not at all,not at all,very,20210520.0,Men 21-25,,,,North India,,,,,,,0.8147417338887302
2218,2982.0,English,Australia,22.0,man,Australia: Australian Capital Territory,,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,very,yes,yes,yes,no,yes,no,yes,yes,no,extremely,not at all,not at all,very,not at all,not at all,not at all,not at all,a little,20210520.0,Men 21-25,Australian Capital Territory,,,,,,,,,,1.1390743717661362
2219,2983.0,English,India,22.0,woman,India: North India,moderately,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,,yes,no,yes,yes,yes,yes,yes,yes,a little,no,yes,yes,no,yes,,yes,yes,no,a little,moderately,a little,a little,a little,not at all,not at all,moderately,not at all,20210520.0,Women 21-25,,,,North India,,,,,,,0.7039234893501642
2220,2984.0,English,Australia,19.0,woman,Australia: Queensland,very,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,not at all,no,no,yes,no,yes,no,yes,no,yes,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all,not at all,20210520.0,Women 16-20,Queensland,,,,,,,,,,1.0795608562983807
2221,2985.0,French,France,23.0,woman,France: North East,moderately,yes,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,moderately,,,,,,,,,,moderately,moderately,moderately,moderately,moderately,moderately,moderately,very,moderately,20210520.0,Women 21-25,,,,,,,,,,North East,0.8525325875889187
2222,2987.0,French,France,19.0,woman,France: Centre,moderately,,,,,,,,,,,,,,,,,,,yes,,,,,a little,,,,,,,,,,,,,,,,,,,20210520.0,Women 16-20,,,,,,,,,,Centre,1.0453907986638666
2223,2988.0,English,Philippines,21.0,woman,Philippines: Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,very,no,no,yes,yes,no,no,no,yes,no,moderately,moderately,moderately,a little,very,very,very,moderately,moderately,20210520.0,Women 21-25,,,,,,Metro Luzon Urban Beltway/ North Luzon Agribusiness Quadrangle,,,,,0.649679802136875
2224,2989.0,English,India,21.0,woman,India: East India,extremely,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,moderately,no,no,,yes,,,yes,,,a little,moderately,very,a little,moderately,a little,moderately,a little,a little,20210520.0,Women 21-25,,,,East India,,,,,,,0.8480959604196836
2225,2990.0,English,India,19.0,man,India: North India,moderately,yes,yes,no,yes,yes,no,yes,no,no,yes,no,no,no,no,yes,no,yes,no,yes,yes,no,yes,yes,very,yes,yes,no,yes,yes,yes,yes,no,yes,very,very,a little,very,a little,a little,very,very,moderately,20210520.0,Men 16-20,,,,North India,,,,,,,1.4754948727237758
2226,2992.0,French,France,23.0,woman,France: Centre,moderately,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,,no,no,yes,yes,yes,no,yes,no,not at all,no,no,yes,no,no,no,yes,yes,no,moderately,a little,a little,not at all,a little,a little,moderately,a little,not at all,20210520.0,Women 21-25,,,,,,,,,,Centre,0.8028759325112382
2227,2993.0,English,United Kingdom,20.0,woman,United Kingdom: South,very,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,,a little,no,yes,no,yes,yes,yes,no,no,no,a little,a little,moderately,a little,a little,a little,a little,a little,moderately,20210520.0,Women 16-20,,,South,,,,,,,,0.9803719981125373
2228,2994.0,English,India,25.0,woman,India: South India,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,moderately,no,no,yes,yes,yes,yes,yes,yes,yes,very,very,very,moderately,very,moderately,extremely,very,moderately,20210520.0,Women 21-25,,,,South India,,,,,,,0.6922652213963221
2229,2996.0,English,India,25.0,woman,India: South India,extremely,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,completely reassured,yes,no,yes,no,yes,yes,yes,yes,yes,very,moderately,a little,extremely,moderately,extremely,a little,very,extremely,20210520.0,Women 21-25,,,,South India,,,,,,,0.6922652213963221
2230,2997.0,French,France,24.0,woman,France: Centre,extremely,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,a little,no,no,no,no,no,no,yes,yes,yes,very,a little,moderately,moderately,a little,not at all,a little,moderately,not at all,20210520.0,Women 21-25,,,,,,,,,,Centre,0.8028759325112382
2231,2998.0,French,France,22.0,woman,France: South,extremely,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,not at all,no,no,yes,no,no,no,yes,yes,yes,extremely,very,very,not at all,extremely,not at all,very,moderately,not at all,20210520.0,Women 21-25,,,,,,,,,,South,0.8061407188169721
2232,2999.0,French,France,21.0,man,France: South,very,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,moderately,yes,no,no,yes,,,no,no,yes,moderately,not at all,moderately,a little,a little,a little,not at all,not at all,a little,20210520.0,Men 21-25,,,,,,,,,,South,0.9551268394081684
2233,3000.0,French,France,21.0,woman,France: North East,very,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,a little,extremely,moderately,not at all,very,not at all,a little,moderately,not at all,20210520.0,Women 21-25,,,,,,,,,,North East,0.8525325875889187
2234,3001.0,English,India,21.0,man,India: South India,very,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,yes,no,yes,yes,yes,no,not at all,no,yes,yes,yes,yes,no,no,no,yes,not at all,a little,a little,extremely,moderately,a little,a little,not at all,very,20210520.0,Men 21-25,,,,South India,,,,,,,0.8012481119389621
2235,3003.0,English,India,22.0,woman,India: East India,moderately,yes,yes,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,yes,no,a little,no,no,yes,no,no,no,yes,no,yes,moderately,very,very,not at all,very,a little,extremely,moderately,not at all,20210520.0,Women 21-25,,,,East India,,,,,,,0.8480959604196836
2236,3004.0,English,India,25.0,woman,India: North India,a little,no,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,a little,no,no,no,no,yes,yes,yes,yes,no,a little,not at all,not at all,a little,not at all,very,not at all,moderately,moderately,20210520.0,Women 21-25,,,,North India,,,,,,,0.7039234893501642
2237,3005.0,French,France,22.0,woman,France: Ile de France,very,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,not at all,no,no,yes,no,no,no,yes,no,yes,moderately,very,very,not at all,very,a little,moderately,a little,not at all,20210520.0,Women 21-25,,,,,,,,,,Ile de France,0.8607628859981643
2238,3006.0,English,Australia,24.0,man,Australia: Western Australia,a little,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,,not at all,no,no,yes,no,no,no,yes,yes,yes,moderately,very,moderately,not at all,very,not at all,moderately,moderately,not at all,20210520.0,Men 21-25,Western Australia,,,,,,,,,,1.1454722379730697
2239,3007.0,French,France,25.0,woman,France: Centre,very,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,moderately,yes,no,yes,yes,no,yes,yes,no,no,moderately,a little,a little,moderately,a little,moderately,moderately,very,moderately,20210520.0,Women 21-25,,,,,,,,,,Centre,0.8028759325112382
2240,3009.0,English,Australia,18.0,woman,Australia: Victoria,a little,,yes,,yes,no,yes,no,yes,no,,no,no,yes,,no,yes,yes,yes,yes,yes,,yes,,very,yes,no,yes,no,no,no,no,yes,yes,extremely,moderately,a little,moderately,very,very,moderately,moderately,moderately,20210520.0,Women 16-20,Victoria,,,,,,,,,,0.91285867084328
2241,3010.0,English,India,24.0,man,India: North India,very,yes,no,yes,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,a little,no,no,yes,no,no,no,yes,yes,yes,moderately,very,moderately,not at all,very,a little,moderately,a little,not at all,20210520.0,Men 21-25,,,,North India,,,,,,,0.8147417338887302
2242,3011.0,English,United Kingdom,24.0,woman,United Kingdom: South,very,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,a little,very,extremely,not at all,moderately,not at all,very,very,a little,20210520.0,Women 21-25,,,South,,,,,,,,0.9122757883172335
2243,3012.0,French,France,22.0,man,France: South,very,yes,no,yes,yes,no,yes,no,yes,no,no,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,not at all,no,no,yes,no,no,no,yes,yes,yes,a little,moderately,very,not at all,very,not at all,a little,a little,not at all,20210520.0,Men 21-25,,,,,,,,,,South,0.9551268394081684
2244,3013.0,English,Australia,25.0,woman,Australia: Queensland,very,yes,no,yes,yes,no,no,yes,yes,no,yes,no,no,yes,no,no,yes,,yes,yes,yes,,,yes,a little,,no,yes,no,no,no,yes,yes,yes,moderately,moderately,very,a little,moderately,a little,moderately,moderately,a little,20210520.0,Women 21-25,Queensland,,,,,,,,,,0.9581592997705705
2245,3014.0,French,France,18.0,woman,France: Ile de France,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,moderately,yes,yes,yes,yes,yes,yes,yes,yes,yes,a little,very,moderately,moderately,very,moderately,moderately,moderately,moderately,20210520.0,Women 16-20,,,,,,,,,,Ile de France,1.1207629528006064
2246,3015.0,French,France,24.0,woman,France: North East,moderately,yes,yes,no,no,no,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,a little,no,no,yes,no,yes,no,no,no,no,not at all,not at all,not at all,very,not at all,a little,not at all,not at all,a little,20210520.0,Women 21-25,,,,,,,,,,North East,0.8525325875889187
2247,3016.0,French,France,25.0,woman,France: Ile de France,extremely,yes,no,yes,yes,no,yes,no,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,not at all,no,no,yes,no,no,no,yes,yes,yes,very,extremely,very,not at all,extremely,not at all,moderately,moderately,not at all,20210520.0,Women 21-25,,,,,,,,,,Ile de France,0.8607628859981643
2248,3018.0,English,Australia,19.0,man,Australia: Western Australia,moderately,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,,no,no,yes,moderately,yes,yes,no,yes,yes,yes,no,yes,no,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately,moderately,20210520.0,Men 16-20,Western Australia,,,,,,,,,,1.1535912600815725
2249,3020.0,French,France,21.0,woman,France: North East,extremely,yes,yes,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,extremely,extremely,extremely,not at all,very,not at all,very,extremely,not at all,20210520.0,Women 21-25,,,,,,,,,,North East,0.8525325875889187
2250,3021.0,English,Australia,24.0,woman,Australia: Western Australia,very,yes,no,no,no,no,yes,no,yes,,yes,yes,yes,no,yes,no,yes,,no,yes,no,,yes,,very,no,,no,yes,,,,,yes,moderately,moderately,a little,moderately,a little,a little,a little,a little,not at all,20210520.0,Women 21-25,Western Australia,,,,,,,,,,0.8219529223321098
2251,3022.0,Finnish,Finland,25.0,woman,Finland: South Finland,moderately,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,a little,no,no,no,no,no,yes,no,no,no,not at all,not at all,not at all,a little,not at all,moderately,not at all,not at all,a little,20210520.0,Women 21-25,,,,,,,South Finland,,,,0.7403900082320471
2252,3023.0,French,France,23.0,woman,France: Centre,extremely,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,,yes,yes,yes,yes,yes,yes,yes,not at all,no,no,yes,no,no,no,yes,yes,yes,extremely,extremely,extremely,not at all,extremely,not at all,,,not at all,20210520.0,Women 21-25,,,,,,,,,,Centre,0.8028759325112382
2253,3025.0,French,France,22.0,woman,France: North East,moderately,yes,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,a little,no,no,no,no,no,yes,no,no,no,moderately,not at all,moderately,a little,not at all,not at all,not at all,not at all,a little,20210520.0,Women 21-25,,,,,,,,,,North East,0.8525325875889187
2254,3026.0,English,India,18.0,woman,India: South India,very,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes,yes,moderately,,no,,yes,yes,,yes,yes,yes,a little,moderately,not at all,very,a little,very,a little,a little,moderately,20210520.0,Women 16-20,,,,South India,,,,,,,1.4214363892028168
2255,3027.0,English,India,21.0,woman,India: East India,extremely,yes,no,yes,yes,yes,no,no,no,no,no,,no,yes,no,yes,no,yes,yes,yes,no,yes,yes,yes,moderately,yes,yes,no,no,yes,no,yes,no,yes,a little,a little,very,not at all,a little,very,not at all,a little,not at all,20210520.0,Women 21-25,,,,East India,,,,,,,0.8480959604196836
2256,3028.0,English,Australia,19.0,man,Australia: Queensland,very,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,very,no,no,no,no,no,no,yes,yes,yes,very,very,a little,very,moderately,moderately,moderately,moderately,very,20210520.0,Men 16-20,Queensland,,,,,,,,,,1.344753651882028
2257,3029.0,English,Australia,16.0,man,Australia: New South Wales,very,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,yes,no,moderately,no,no,yes,no,no,no,yes,yes,yes,not at all,moderately,a little,moderately,moderately,a little,a little,a little,not at all,20210520.0,Men 16-20,New South Wales,,,,,,,,,,1.0829899515802246
2258,3030.0,English,India,21.0,woman,India: South India,extremely,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,moderately,yes,yes,no,no,no,no,no,yes,yes,extremely,very,extremely,extremely,very,very,very,extremely,extremely,20210520.0,Women 21-25,,,,South India,,,,,,,0.6922652213963221
2259,3031.0,French,France,25.0,woman,France: North West,extremely,yes,no,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,not at all,no,no,yes,no,no,no,yes,yes,yes,a little,moderately,a little,not at all,a little,not at all,moderately,moderately,not at all,20210520.0,Women 21-25,,,,,,,,,,North West,1.0296639405015962
2260,3032.0,English,India,25.0,man,India: East India,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,very,very,not at all,very,very,very,very,very,very,20210520.0,Men 21-25,,,,East India,,,,,,,0.9816111889294205
2261,3033.0,English,India,23.0,woman,India: North India,a little,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,,moderately,no,no,no,yes,yes,yes,yes,yes,no,not at all,moderately,not at all,a little,a little,moderately,not at all,moderately,a little,20210520.0,Women 21-25,,,,North India,,,,,,,0.7039234893501642
2262,3034.0,English,India,22.0,woman,India: East India,very,yes,yes,yes,yes,no,yes,yes,yes,no,no,,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,not at all,yes,yes,yes,yes,yes,yes,no,yes,yes,moderately,extremely,extremely,extremely,moderately,extremely,extremely,extremely,very,20210520.0,Women 21-25,,,,East India,,,,,,,0.8480959604196836
2263,3035.0,English,India,18.0,woman,India: North India,extremely,yes,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,very,moderately,moderately,very,very,very,very,very,very,20210520.0,Women 16-20,,,,North India,,,,,,,1.4453744490568754
2264,3036.0,Finnish,Finland,17.0,woman,Finland: North Finland,very,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,moderately,yes,no,no,yes,yes,yes,yes,no,no,not at all,not at all,not at all,moderately,not at all,a little,not at all,a little,moderately,20210520.0,Women 16-20,,,,,,,North Finland,,,,1.2841920474458481
2265,3038.0,French,France,20.0,man,France: South,very,no,yes,yes,no,yes,no,no,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,moderately,yes,yes,yes,yes,yes,no,no,no,no,,a little,not at all,a little,very,moderately,not at all,not at all,moderately,20210520.0,Men 16-20,,,,,,,,,,South,0.9746617867999019
2266,3039.0,French,France,17.0,woman,France: Ile de France,moderately,no,yes,yes,,,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,no,yes,no,a little,no,no,,no,yes,,yes,yes,no,very,moderately,a little,moderately,a little,a little,not at all,not at all,moderately,20210520.0,Women 16-20,,,,,,,,,,Ile de France,1.1207629528006064
2267,3040.0,English,India,21.0,man,India: North India,moderately,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,moderately,no,no,yes,no,no,no,yes,yes,yes,not at all,very,moderately,very,not at all,moderately,a little,very,moderately,20210520.0,Men 21-25,,,,North India,,,,,,,0.8147417338887302
2268,3041.0,French,France,19.0,woman,France: Centre,moderately,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,yes,no,a little,yes,yes,yes,,yes,no,no,yes,no,not at all,not at all,a little,not at all,not at all,not at all,very,moderately,not at all,20210520.0,Women 16-20,,,,,,,,,,Centre,1.0453907986638666
2269,3042.0,Finnish,Finland,23.0,woman,Finland: East Finland,moderately,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,,no,no,no,yes,yes,no,yes,no,no,moderately,,,,,,moderately,,,20210520.0,Women 21-25,,,,,,,East Finland,,,,0.7916250521417015
2270,3043.0,English,India,24.0,man,India: North India,extremely,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,very,yes,yes,no,yes,yes,yes,yes,yes,yes,extremely,extremely,extremely,extremely,extremely,extremely,extremely,extremely,extremely,20210520.0,Men 21-25,,,,North India,,,,,,,0.8147417338887302
2271,3044.0,Portuguese,Portugal,22.0,man,Portugal: Center,moderately,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,moderately,no,yes,no,yes,yes,yes,no,no,no,not at all,not at all,not at all,not at all,not at all,a little,not at all,not at all,moderately,20210520.0,Men 21-25,,,,,,,,Center,,,0.7757390422624343
2272,3045.0,French,France,18.0,woman,France: South,very,yes,no,no,yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,moderately,yes,no,yes,no,no,no,yes,yes,yes,very,a little,very,not at all,very,moderately,extremely,moderately,a little,20210520.0,Women 16-20,,,,,,,,,,South,1.049641738847044
2273,3046.0,Finnish,Finland,25.0,woman,Finland: North Finland,moderately,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,very,yes,yes,no,yes,yes,yes,no,no,no,very,moderately,very,moderately,very,a little,not at all,moderately,moderately,20210520.0,Women 21-25,,,,,,,North Finland,,,,0.7870439499531771
2274,3047.0,Portuguese,Portugal,25.0,man,Portugal: North,very,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,no,very,no,yes,no,no,yes,yes,yes,no,yes,a little,moderately,very,extremely,moderately,very,moderately,very,moderately,20210520.0,Men 21-25,,,,,,,,North,,,0.8432625289349607
2275,3048.0,English,Nigeria,21.0,woman,Nigeria: South West,extremely,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,moderately,no,no,no,yes,yes,no,yes,no,no,moderately,a little,not at all,very,a little,very,not at all,not at all,very,20210520.0,Women 21-25,,,,,South West,,,,,,0.43344073413242235
2276,3049.0,English,Nigeria,22.0,man,Nigeria: South West,extremely,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,,yes,no,a little,no,no,yes,,no,no,yes,yes,yes,moderately,a little,a little,moderately,extremely,moderately,very,a little,a little,20210520.0,Men 21-25,,,,,South West,,,,,,0.3114404806500046
2277,3051.0,English,Nigeria,25.0,man,Nigeria: North West,moderately,yes,no,no,yes,no,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,yes,a little,no,no,no,yes,no,yes,yes,no,yes,not at all,very,moderately,not at all,moderately,not at all,moderately,moderately,not at all,20210520.0,Men 21-25,,,,,North West,,,,,,1.59501766914096
2278,3053.0,English,Nigeria,25.0,woman,Nigeria: North West,extremely,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,yes,no,very,yes,yes,yes,yes,yes,yes,yes,yes,yes,not at all,not at all,a little,very,a little,very,moderately,a little,extremely,20210520.0,Women 21-25,,,,,North West,,,,,,2.2198322710770984
